prefLabel_en;altLabel_en
adaptor-associated protein kinase 1; AP2-associated protein kinase 1
cellular receptor;cell-surface receptor
cellular receptor; host receptor
DNA vaccine;DNA vaccination
DNA vaccine; DNA-based COVID-19 vaccine
DNA vaccine; DNA-based vaccine candidate
DNA;deoxyribonucleic acid
DNA; synthetic DNA medicine platform
non-replicant viral vector;non-replicating virus
replicant viral vector;replicating virus
ChAdOx1 nCoV-19;AZD1222 (ChAdOx1 nCoV-19)
ChAdOx1 nCoV-19; AstraZeneca Oxford AZD1222
ChAdOx1 nCoV-19; ChAdOxnCoV-19
aminopeptidase N;ApN
aminopeptidase N; alanine aminopeptidase
aminopeptidase N; alanyl aminopeptidase
aminopeptidase N; cd13 antigen
aminopeptidase N; membrane alanyl aminopeptidase
N-acetyl-9-O-acetyl neuraminic acid;9-O-acetylated sialic acid
N-acetyl-9-O-acetyl neuraminic acid; NEU 5
N-acetyl-9-O-acetyl neuraminic acid;9 AC2
dipeptidyl peptidase 4;Dpp4
dipeptidyl peptidase 4; adenosine deaminase complexing protein 2
intensive care unit;ICU
intensive care unit; critical care unit
intensive care unit; intensive care
intensive care unit; intensive therapy unit
intensive care unit; intensive treatment unit
support treatment;supportive measure
support treatment; supportive treatment
plan-do-check-act cycle;Deming wheel
CoronaVac;PiCoVacc®
CoronaVac; CoronaVac®
CoronaVac; coronavac
NVX-CoV2373;Full length recombinant SARS CoV-2 gly-coprotein nanoparticle vaccine
NVX-CoV2373; SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine
neutralizing antibody;neutralizing antibodies
artificial respiration;ventilation therapy
positive pressure ventilation;positive pressure respiration
positive pressure ventilation; positive-pressure respirations
positive pressure ventilation; positive-pressure ventilation
continuous positive airway pressure;cpap ventilation
invasive ventilation;invasive mechanical ventilation
invasive ventilation; mechanical ventilation via endotracheal tube
non-invasive ventilation;non invasive ventilation
non-invasive ventilation; noninvasive ventilation
extracorporeal membrane oxygenation;ECLS treatment
extracorporeal membrane oxygenation; ECMO
extracorporeal membrane oxygenation; ECMO treatment
extracorporeal membrane oxygenation; extracorporeal life support
intubation;endotracheal tube
dialysis;kidney replacement therapy
prevention;prophylactic measure
prevention; prophylaxy
prevention; protective measure
primary prevention;primary disease prevention
secondary prevention;secondary disease prevention
hand washing;hand-washing
hand washing; handwashing
alcohol gel;alcohol-based hand rub
alcohol gel; hand sanitizer
FFP-mask;FFP mask
FFP-mask; filtering facepiece (FFP) mask
FFP-mask; filtering facepiece mask
FFP2-mask;FFP2 mask
FFP2-mask; class 2 filtering facepiece (FFP) mask
FFP2-mask; class 2 filtering facepiece mask
FFP3-mask;FFP3 mask
FFP3-mask; class 3 filtering facepiece (FFP) mask
alternative mask;general public mask
personal protective equipment;personal protective measure
physical distancing;sanitary distancing
physical distancing; social distancing
travel restriction;controlled travel
confinement;community containment
confinement; lockdown
clinical trial;clinical assay
clinical trial; clinical study
randomized controlled trial;randomized control trial
marketing authorization;authorisation for the placing on the market
marketing authorization; market authorisation
technology platform;vaccine development platform
technology platform; vaccine platform
European vaccine strategy;EU vaccine strategy
adenovirus;adenoviruses
recombinant protein;recombinant antigenic protein
vaccine candidate;candidate vaccine
live attenuated vaccine;limited living vaccine
BCG vaccine;Bacillus Calmette–Guérin (BCG) vaccine
BCG vaccine; Bacillus Calmette–Guérin vaccine
inactivated vaccine;killed vaccine
inactivated vaccine; sluggish vaccine
RNA vaccine;RNA vaccination
viral vaccine vector;viral vector vaccine
viral vaccine vector; viral vectored vaccine
Ad5-nCoV;Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)
pathogen-specific aAPC;Covid-19 Coronavirus Artificial Antigen Presenting Cell Vaccine
pathogen-specific aAPC; artificial antigen -Pathogen-specific vaccine
pathogen-specific aAPC; pathogen-specific artificial antigen-presenting cell
epidemiological monitoring;epidemiologic monitoring
socioeconomic status;social status
socioeconomic status; social class
epidemiologic study;epidemiologic studies
epidemiologic study; epidemiological studies
epidemiologic study; epidemiological study
public health;community health
pandemic;worldwide outbreak
European continent;Europe
country of the Asian continent;Asian countries
country of the Asian continent; Asian country
country of the Asian continent; countries of Asia
country of the Asian continent; countries of the Asian continent
country of the Asian continent; country of Asia
Asian continent;Asia
American continent;America
African continent;Africa
Russia;Russian Federation
South American subcontinent;south America
National Research Agency;National Agency for Research
3 LNP-mRNAs;BNT162b2
Chinese pharmaceutical laboratory;Chinese pharmaceutical company
Chinese pharmaceutical laboratory; Chinese pharmaceutical factory
Chinese pharmaceutical laboratory; Chinese pharmaceutical firm
Chinese pharmaceutical laboratory; Chinese pharmaceutical lab
Chinese pharmaceutical laboratory; Chinese pharmaceutical manufacturer
North American subcontinent;Amérique du nord
North American subcontinent; North America
United States;US
United States; USA
United States; United States of America
Hubei Province;Province of Hubei
Wuhan city;Wuhan
Huanan seafood wholesale market;Huanan South China seafood market in Wuhan
Huanan seafood wholesale market; Huanan market
Huanan seafood wholesale market; Huanan seafood
Huanan seafood wholesale market; animal market in Wuhan city
Huanan seafood wholesale market; market in Wuhan city
Huanan seafood wholesale market; seafood and wet animal wholesale market in Wuhan
India;Republic of India
Hong Kong;Hong-Kong
index case;patient zero
suspicious case;presumptive case
suspicious case; suspected case
confirmed case;infected case
confirmed case; infected patient
age-adjusted rate;age adjusting rate
case-fatality rate;case fatality rate
case-fatality rate; case fatality risk
case-fatality rate; case-fatality ratio
seroprevalence;seroepidemiology
contact tracing;contact investigations
digital tracking;digital contact tracing
digital tracking; digital smartphone tracking
digital tracking; digital tracing
digital tracking; track physical proximity between phones
tracking protocol;tracing protocol
ROBust and privacy-presERving proximity Tracing protocol;ROBERT
Decentralized Privacy-Preserving Proximity Tracing;DP-3T
Decentralized Privacy-Preserving Proximity Tracing; DP3T
Private Automated Contact Tracing;PACT
Temporary Contact Numbers;TCN protocol
global positioning system;GPS
basic reproduction number;R0
basic reproduction number; basic regeneration number
basic reproduction number; basic reproduction ratio
basic reproduction number; basic reproductive number
basic reproduction number; basic reproductive rate
effective reproduction number;reproduction number over time
communicable period;communicability period
communicable period; period of communicability
viral reactivation;reactivation of the virus
viral reactivation; virus reactivation
child;children
pregnant woman;pregnant women
cluster;disease cluster
transmission mode;mode of transmission
transmission mode; route of transmission
transmission mode; transmission route
close contact;close proximity
close contact; promiscuity
interspecies transmission;cross species transmission
interspecies transmission; cross-species transmission
interspecies transmission; crossing species barrier
barrier species;species barrier
animal to human transmission;animal-to-human transmission
animal to human transmission; transmission from animal-to-human
animal to human transmission; zoonotic transmission
human to human transmission;cross infection
human to human transmission; cross?infection
human to human transmission; human-to-human transmission
human to human transmission; human-to-human virus transmission
human to human transmission; person-to-person spread
human to human transmission; person-to-person transmission
human to human transmission; transmissible from human to human
human to human transmission; transmission from human-to-human
human to human transmission; transmitted from person to person
intrafamilial transmission;household transmission
intrafamilial transmission; transmission between family members
droplets transmission;respiratory system droplets
droplets transmission; transmission by droplets
aerosol transmission;droplet nuclei transmission
vertical transmission;intrauterine transmission
vertical transmission; maternal foetal transmission
vertical transmission; mother-to-child transplacental transmission
vertical transmission; mother-to-fetus transmission
vertical transmission; transmission from the mother to the embryo
vertical transmission; transmission from the mother to the fetus
vertical transmission; vertically transmitted infection
modelling;scientific modelling
modelling; modelling study
bayesian network;Bayes network
bayesian network; Bayes(ian) model
bayesian network; bayesian model
bayesian network; belief network
bayesian network; decision network
bayesian network; probabilistic directed acyclic graphical model
SIR model;susceptible - infected - recovered
SEIR model;susceptible - exposed - infected - recovered
SEIRS model;susceptible - exposed - infected - recovered - susceptible
SECIR model;susceptible - exposed - carriers - infected - recovered
Modcov19 platform;Mod-cov19 platform
healthcare system;health care system
healthcare system; health-care system
healthcare worker;health care professional
healthcare worker; health care worker
healthcare worker; health-care worker
healthcare worker; healthcare professional
organization;organisation
American organization;U.S. organization
American organization; US organization
Canadian pharmaceutical laboratory;Canadian pharmaceutical company
Canadian pharmaceutical laboratory; Canadian pharmaceutical factory
Canadian pharmaceutical laboratory; Canadian pharmaceutical firm
Canadian pharmaceutical laboratory; Canadian pharmaceutical lab
Canadian pharmaceutical laboratory; Canadian pharmaceutical manufacturer
Food and Drug Administration;FDA
Food and Drug Administration; Food & Drug Administration
Food and Drug Administration; USFDA
Food and Drug Administration; United States Food & Drug Administration
Centers for Disease Control and Prevention;CDC
Centers for Disease Control and Prevention; Centres for Disease Control
National Institutes of Health;NIH
Institut national de la santé et de la recherche médicale;Inserm
Centre national de la recherche scientifique;CNRS
World Health Organization;WHO
consortium Pan-European Privacy Preserving Proximity Tracing;PEPP-PT consortium
autoantibody;auto-antibodies
autoantibody; auto-antibody
antiphospholipid (aPL) antibody;anti-phospholipid antibody
antiphospholipid (aPL) antibody; antiphospholipid antibody
immunoglobulin G;IgG
immunoglobulin A;IgA
immunoglobulin M;IgM
immunoglobulin E;IgE
immunoglobulin D;IgD
natural killer cell;NK cell
natural killer cell; large granular lymphocyte
antigen-presenting cell;antigen presenting cell
antigen-presenting cell; immunologic accessory cell
epitope;antigenic determinant
granulocyte;polymorphonuclear leukocyte
immunity;immune fonction
immunity; immune system
adaptative immunity;acquired immune system
adaptative immunity; acquired immunity
adaptative immunity; adaptive immune response
gut-associated lymphoid tissue;GALT
bronchus-associated lymphoid tissue;BALT
bronchus-associated lymphoid tissue; Bronchus Associated Lymphoid Tissue
cross immunity;cross protection
cross immunity; cross-immunity
herd immunity;community immunity
herd immunity; herd effect
herd immunity; population immunity
herd immunity; social immunity
trained immunity;innate immune memory
innate immunity;innate immune response
innate immunity; innate immune system
innate immunity; innate response
immunological memory;immunologic memories
immunological memory; immunologic memory
immunological memory; immunological memories
immunoglobulin;immuno-globulin
immunoglobulin protein chain;Ig subunit
immunoglobulin protein chain; immunoglobulin chains
immunoglobulin protein chain; immunoglobulin polypeptide chains
immunoglobulin protein chain; polypeptide chains
long term care service;long-term care service
immunomodulation;immune modulation
B lymphocyte;B cell
B lymphocyte; B-cell
B lymphocyte; B-lymphocyte
B lymphocyte; bursa dependent lymphocyte
B lymphocyte; bursa-dependent lymphocyte
T lymphocyte;T cell
lymphocyte T helper;CD4(+) T helper
lymphocyte T helper; CD4+ cell
lymphocyte T helper; T helper
memory CD4(+) T cell;CD4(+) memory T-cell
memory CD4(+) T cell; CD4+ memory T-cell
memory CD4(+) T cell; memory CD4 T cell
memory CD4(+) T cell; memory CD4 T-cell
central memory CD4 T cell;central memory CD4 T-cell
effector memory CD4 T cell;effector memory CD4 T-cell
memory CD8(+) T cell;CD8 memory T-cell
memory CD8(+) T cell; CD8(+) memory T-cell
memory CD8(+) T cell; memory CD8 T cell
memory CD8(+) T cell; memory CD8 T-cell
central memory CD8 T cell;central memory CD8 T-cell
effector memory CD8 T cell;effector memory CD8 T-cell
cytotoxic T lymphocyte;CD8+ T-cell
cytotoxic T lymphocyte; CTL
cytotoxic T lymphocyte; T-killer cell
cytotoxic T lymphocyte; killer T cell
??T cell;gamma delta T cell
??T cell; ?-?T cell
mast cell;labrocyte
mast cell; mastocyte
paratope;antigen-binding site
antimicrobial peptides;host defense peptide
phagocyte;phagocytic cell
plasma cell;plasma B cell
eosinophil;acidophil
eosinophil; eosinophile
neutrophil;heterophil
neutrophil; neutrocyte
bitopic protein;single-pass protein
bitopic protein; single-spanning protein
transmembrane protein;transmembrane-protein
pattern recognition receptor;PRR
pattern recognition receptor; pattern-recognition receptor
RIG-I-like receptor;retinoic acid-inducible gene-I-like receptor
Toll-like receptor 3;CD283
Toll-like receptor 3; cluster of differentiation 283
antibody titre;titre of antibody
candidate drug;experimental drug
candidate drug; interesting drug
candidate drug; promising drug
angiotensin II receptor blocker;angiotensin II receptor antagonist
angiotensin-converting-enzyme inhibitor;ACE inhibitor
b-D-N4-hydroxycytidine;b-d-N4-hydroxycytidine
b-D-N4-hydroxycytidine; beta-d-N4-hydroxycytidine
sarilumab/hydroxychloroquine;sarilumab + hydroxychloroquine
immunomodulator;immunomodulating drug
immunomodulator; immunomodulatory therapy
monoclonal antibody;monoclonal antibodies
interleukin inhibitor;interleukin blockade
interleukin 1 inhibitor;IL-1 blockade
interleukin 1 inhibitor; IL-1 inhibitor
interleukin 1 inhibitor; interleukin-1 (IL-1) blockade
interleukin 1 inhibitor; interleukin-1 blockade
interleukin 1 inhibitor; interleukin-1 inhibitor
hydroxychloroquine;Plaquenil®
chloroquine;Aralen®
anthelmintic;antihelminthic
antimalarial agent;antimalarial drug
antiviral;anti-viral therapy
antiviral; antiviral agent
antiviral; antiviral drug
protease inhibitor;antiprotease
serine protease inhibitor;TMPRSS2 inhibitor
serine protease inhibitor; inhibitor of TMPRSS2
Janus kinase inhibitor;JAK inhibitor
Janus kinase inhibitor; Jakinib
umifenovir;Arbidol®
drug combination;combination therapy
lopinavir/ritonavir;Keletra®
lopinavir/ritonavir; lopinavir-ritonavir
lopinavir/ritonavir + interferon beta-1a;lopinavir/ritonavir and interferon beta
steroid anti-inflammatory drug;steroid anti-inflammatory agent
immunologic deficiency;immunologic deficiency syndrome
immunologic deficiency; immunological deficiency
immunotherapy;biological therapy
anti-CoV antibody;anti-CoV antibodies
cell therapy;cell transplantation
cell therapy; cellular therapy
cell therapy; cytotherapy
mesenchymal stem cells;medicinal signaling cells
mesenchymal stem cells; mesenchymal stromal cells
umbilical cord mesenchymal stem cells;human umbilical cord mesenchymal stem cells
umbilical cord mesenchymal stem cells; umbilical cord mesenchymal stromal cells
umbilical cord mesenchymal stem cells; umbilical cord-derived mesenchymal stem cells
Covid-19 convalescent plasma therapy;convalescent plasma transfusion
Covid-19 convalescent plasma therapy; convalescent plasma treatment
seroepidemiologic study;seroepidemiological study
cohort study;concurrent study
CORIMUNO -19;Cohort multiple Randomized open-label control trial of Immunomodulatory drugs and other treatments in COVID-19 patients
COVID-ICU;COVID-19 infection in intensive care unit
Recovery;Randomised Evaluation of COVID-19 therapy
GenBank;genetic sequence database
genome sequence;genomic sequence
benefit-risk balance;balance between benefit and risk
benefit-risk balance; benefit/risk balance
benefit-risk balance; risk–benefit ratio
vaccine protective effect;vaccine effectiveness
vaccine protective effect; vaccine efficacy
indirect vaccine effectiveness;efficacité indirecte du vaccin
indirect vaccine effectiveness; indirect effect of the vaccine
indirect vaccine effectiveness; indirect impact of the vaccine
total vaccine effectiveness;total effect of the vaccine
total vaccine effectiveness; total impact of the vaccine
direct vaccine effectiveness;direct effect of the vaccine
direct vaccine effectiveness; direct impact of the vaccine
overall vaccine effectiveness;overall effect of the vaccine
overall vaccine effectiveness; overall impact of the vaccine
vaccine strategy;vaccination strategy
immunization recommendation;vaccination recommendation
immunization policy;vaccination policy
immunization schedule;vaccination schedule
French National Authority for Health;F.N.A.H.
French National Authority for Health; National Authority for Health
vaccine hesitation;vaccine hesitancy
Vaccine Alliance;GAVI
Vaccine Alliance; GAVI Alliance
Vaccine Alliance; Gavi
vaccine adverse event;post-vaccination adverse event
vaccine adverse event; post-vaccination adverse events
vaccine adverse event; post-vaccine adverse event
vaccine adverse event; post-vaccine adverse events
vaccine adverse event; vaccine adverse events
AstraZeneca-Oxford vaccine;AstraZeneca-Oxford Covid vaccine
AstraZeneca-Oxford vaccine; AstraZeneca/Oxford vaccine
AstraZeneca-Oxford vaccine; Oxford University/AstraZeneca vaccine
vaccine stability;thermal stability of vaccine
vaccine stability; vaccine thermal stability
vaccine stability; vaccine thermostability
vaccine stability; vaccine's stability
Gam-COVID-Vac;rAd26-S+rAd5-S
Merck Sharp and Dohme;Merck & Co.
Sinovac Biotech;Sinovac Biotech Ltd.
Yunnan Walvax Biotechnology;Walvax Biotechnology Co
Moderna Therapeutics;Moderna
Gamaleya Research Institute of Epidemiology and Microbiology;Gamaleya Scientific Research Institute
Gamaleya Research Institute of Epidemiology and Microbiology; Gamaleya National Research Center for Epidemiology and Microbiology
Gamaleya Research Institute of Epidemiology and Microbiology; N. F. Gamaleya Federal Research Center for Epidemiology & Microbiology
Biopharmaceutical New Technologies;BioNTech
Biopharmaceutical New Technologies; BioNTech SE
Pfizer;PFIZER INC
Pfizer; PFIZER
Pfizer; INC
Pfizer; Pfizer INC
Pfizer; Pfizer Inc
Pfizer; Pfizer
Pfizer; INC
Pfizer; Pfizer
Pfizer; Inc
China National Pharmaceutical Group;Sinopharm
CanSino Biologics;CanSinoBIO
University of Oxford;Oxford University
AstraZeneca;AstraZeneca plc
Kentucky BioProcessing;Biopharmaceutical company Kentucky BioProcessing
Bharat Biotech;Bharat Biotech International Limited
Australian pharmaceutical laboratory;Australian pharmaceutical company
Australian pharmaceutical laboratory; Australian pharmaceutical factory
Australian pharmaceutical laboratory; Australian pharmaceutical firm
Australian pharmaceutical laboratory; Australian pharmaceutical lab
Australian pharmaceutical laboratory; Australian pharmaceutical manufacturer
Medicago;Medicago Inc.
Recombinant new coronavirus vaccine (CHO cell);Adjuvanted recombinant protein (RBDDimer)
"Federal Budgetary Research Institution State Research Center of Virology and Biotechnology ""Vector""";State Research Center of Virology and Biotechnology VECTOR
"Federal Budgetary Research Institution State Research Center of Virology and Biotechnology ""Vector"""; Vector Institute
Sanofi;Sanofi Pasteur
Instituto Finlay de Vacunas;Finlay Institute
University Hospital Tuebingen;Eberhard Karls University of Tübingen
Jiangsu Provincial Center for Disease Control and Prevention;Jiangsu Province Center for Disease Control and Prevention
Health Ministry of the Russian Federation;Health ministers of Russia
Health Ministry of the Russian Federation; Ministry of Health of the Russian Federation
Republic of Cuba;Cuba
Curevac;CureVac
South Korean pharmaceutical laboratory;South Korean pharmaceutical company
South Korean pharmaceutical laboratory; South Korean pharmaceutical factory
South Korean pharmaceutical laboratory; South Korean pharmaceutical firm
South Korean pharmaceutical laboratory; South Korean pharmaceutical lab
South Korean pharmaceutical laboratory; South Korean pharmaceutical manufacturer
U.S. pharmaceutical laboratory;U.S. pharmaceutical company
U.S. pharmaceutical laboratory; U.S. pharmaceutical factory
U.S. pharmaceutical laboratory; U.S. pharmaceutical firm
U.S. pharmaceutical laboratory; U.S. pharmaceutical lab
U.S. pharmaceutical laboratory; U.S. pharmaceutical manufacturer
Taiwanese pharmaceutical laboratory;Taiwanese pharmaceutical company
Taiwanese pharmaceutical laboratory; Taiwanese pharmaceutical factory
Taiwanese pharmaceutical laboratory; Taiwanese pharmaceutical firm
Taiwanese pharmaceutical laboratory; Taiwanese pharmaceutical lab
Taiwanese pharmaceutical laboratory; Taiwanese pharmaceutical manufacturer
UK pharmaceutical laboratory;UK pharmaceutical company
UK pharmaceutical laboratory; UK pharmaceutical factory
UK pharmaceutical laboratory; UK pharmaceutical firm
UK pharmaceutical laboratory; UK pharmaceutical lab
UK pharmaceutical laboratory; UK pharmaceutical manufacturer
French pharmaceutical laboratory;French pharmaceutical company
French pharmaceutical laboratory; French pharmaceutical factory
French pharmaceutical laboratory; French pharmaceutical firm
French pharmaceutical laboratory; French pharmaceutical lab
French pharmaceutical laboratory; French pharmaceutical manufacturer
UK organization;Britain organization
UK organization; British organization
Indian pharmaceutical laboratory;Indian pharmaceutical company
Indian pharmaceutical laboratory; Indian pharmaceutical factory
Indian pharmaceutical laboratory; Indian pharmaceutical firm
Indian pharmaceutical laboratory; Indian pharmaceutical lab
Indian pharmaceutical laboratory; Indian pharmaceutical manufacturer
German pharmaceutical laboratory;German pharmaceutical company
German pharmaceutical laboratory; German pharmaceutical factory
German pharmaceutical laboratory; German pharmaceutical firm
German pharmaceutical laboratory; German pharmaceutical lab
German pharmaceutical laboratory; German pharmaceutical manufacturer
histological diagnosis;histological examination
intestine;bowel
aluminum salt-based adjuvant;alum adjuvant
aluminum salt-based adjuvant; aluminium adjuvant
aluminum salt-based adjuvant; aluminum-containing adjuvant
toll-like receptor agonist;agonist of toll-like receptor
toll-like receptor agonist; TLR agonist
toll-like receptor agonist; Toll-like receptors agonist
toll-like receptor agonist; toll-like receptors agonist
aluminium hydroxyphosphate-based adjuvant;aluminim hydroxyphosphate-based adjuvant
aluminium oxyhydroxide-based adjuvant;Alhydrogel
aluminum hydroxide and magnesium hydroxide-based adjuvant;Imject™ Alum
toll-like receptor 9 agonist;TLR9 agonist
toll-like receptor 9 agonist; agonist of toll-like receptor 9
toll-like receptor 3 agonist;agonist of toll-like receptor 3
toll-like receptor 3 agonist; TLR3 agonist
toll-like receptor 4 agonist;TLR4 agonist
toll-like receptor 4 agonist; agonist of toll-like receptor 4
toll-like receptor 7/8 agonist;TLR7/8 agonist
toll-like receptor 7/8 agonist; agonist of toll-like receptor 7/8
toll-like receptor 7/8 agonist; agonist of toll-like receptors 7/8
Polyinosinic-polycytidylic acid;Poly I:C
Polyinosinic-polycytidylic acid; Polyinosinic:polycytidylic acid
glucopyranosyl lipid A;Glucopyranosyl Lipid Adjuvant
resiquimod;R-848
commercial vaccine;authorized vaccine
Comirnaty;tozinameran
Comirnaty; COMIRNATY®
National Center for Biotechnology Information;NCBI
secretory IgA;sIgA
infection-associated enhanced disease;antibody-dependent enhancement
facilitating antibody;enhancing antibodies
facilitating antibody; enhancing antibody
facilitating antibody; facilitating antibodies
Fc?RII;CD32
Fc?RII; FCGR2
type 5 adenovirus;(AdV) 5
type 5 adenovirus; Ad5
type 26 adenovirus;(AdV) 26
type 26 adenovirus; Ad26
VUI-202012/01;Variant Under Investigation” in December 2020
VUI-202012/01; VOC-202012/01
VUI-202012/01; Variant Of Concern-202012/01
VUI-202012/01; Variant of Concern
VUI-202012/01; year 2020
VUI-202012/01; month 12
VUI-202012/01; variant 01
Sputnik V;Sputnik vaccine
Italian pharmaceutical laboratory;Italian pharmaceutical company
Italian pharmaceutical laboratory; Italian pharmaceutical factory
Italian pharmaceutical laboratory; Italian pharmaceutical firm
Italian pharmaceutical laboratory; Italian pharmaceutical lab
Italian pharmaceutical laboratory; Italian pharmaceutical manufacturer
new coronavirus variant;mutant covid
new coronavirus variant; new SARS-CoV-2 variant
new coronavirus variant; new variant of covid-19
COVID-19 Genomics UK (COG-UK) Consortium;COG-UK Consortium
COVID-19 Genomics UK (COG-UK) Consortium; COVID-19 Genomics Consortium UK
prone positioning;prone position
oxygen therapy;oxygen inhalation therapy
oxygen therapy; oxygenotherapy
hyperbaric oxygen therapy;hyperbaric oxygenation
